CHARLPLAMR  1948  24  36  24  76  24  29  24   7  24  36  24 411  24 692-999-999 181PCMA0197Charlie Lake, CDN  832  
CHARLPLAMR  1949  24  38  24  67  24  19  24   7  24  26  24 419  24 615-999-999 182PCMA0197Charlie Lake, CDN  832  
CHARLPLAMR  1950  24  38  24  70  24  22  24   8  24  29  24 423  24 638-999-999 183PCMA0197Charlie Lake, CDN  832  
CHARLPLAMR  1951  24  37  24  74  24  27  24   8  24  35  24 415  24 662-999-999 184PCMA0197Charlie Lake, CDN  832  
CHARLPLAMR  1952  24  39  24  71  24  19  24   7  24  26  24 436  24 647-999-999 185PCMA0197Charlie Lake, CDN  832  
CHARLPLAMR  1953  24  36  24  69  24  25  24   8  24  33  24 411  24 622-999-999 186PCMA0197Charlie Lake, CDN  832  
CHARLPLAMR  1954  24  36  24  69  24  25  24   7  24  32  24 400  24 628-999-999 187PCMA0197Charlie Lake, CDN  832  
CHARLPLAMR  1955  24  37  24  66  24  21  24   7  24  28  24 405  24 604-999-999 188PCMA0197Charlie Lake, CDN  832  
CHARLPLAMR  1956  24  36  24  64  24  25  24   8  24  33  24 406  24 585-999-999 189PCMA0197Charlie Lake, CDN  832  
CHARLPLAMR  1957  24  36  24  71  24  25  24   7  24  32  24 409  24 643-999-999 190PCMA0197Charlie Lake, CDN  832  
CHARLPLAMR  1958  24  36  24  65  24  23  24   7  24  30  24 400  24 585-999-999 191PCMA0197Charlie Lake, CDN  832  
CHARLPLAMR  1959  24  37  24  66  24  25  24   8  24  32  24 413  24 600-999-999 192PCMA0197Charlie Lake, CDN  832  
CHARLPLAMR  1960  24  37  24  69  24  24  24   7  24  31  24 416  24 631-999-999 193PCMA0197Charlie Lake, CDN  832  
CHARLPLAMR  1961  24  35  24  65  24  26  24   8  24  34  24 393  24 590-999-999 194PCMA0197Charlie Lake, CDN  832  
CHARLPLAMR  1962  24  36  24  66  24  22  24   8  24  29  24 399  24 598-999-999 195PCMA0197Charlie Lake, CDN  832  
CHARLPLAMR  1963  24  36  24  66  24  22  24   7  24  29  24 402  24 605-999-999 196PCMA0197Charlie Lake, CDN  832  
CHARLPLAMR  1964  24  35  24  65  24  25  24   7  24  32  24 391  24 586-999-999 197PCMA0197Charlie Lake, CDN  832  
